sgRNA	Gene	sample1_7day	sample1_21day
HGLibB_33269	OGFOD3	2	0
HGLibB_11261	CRYGB	2	0
HGLibB_43701	SFT2D2	2	0
HGLibB_19970	GPR21	2	0
HGLibB_55620	ZNF26	2	0
HGLibB_31846	NHLH1	2	0
HGLibB_00501	ACOX2	3	0
HGLibB_08097	CCNI2	2	0
HGLibB_21579	HLA-DMB	1	0
HGLibB_55198	ZFX	2	0
HGLibB_50895	TOMM20L	2	0
HGLibB_28172	MAP4K2	2	0
HGLibB_56761	ZNF829	2	0
HGLibB_39872	RAB3GAP2	2	0
HGLibB_39838	RAB35	2	0
HGLibB_12653	DDX19B	2	0
HGLibB_19469	GNB3	4	0
HGLibB_03615	ATP2B2	2	0
HGLibB_49242	THAP4	2	0
HGLibB_51966	TSTD1	2	0
HGLibB_54397	XAF1	4	0
HGLibB_17584	FLCN	2	0
HGLibB_15976	FAM105B	2	0
HGLibB_18045	FSCN1	4	0
HGLibB_42664	SAP18	2	0
HGLibB_41080	RHBDD3	2	0
HGLibB_21886	HOXA5	2	0
HGLibB_57489	NonTargetingControlGuideForHuman_0461	2	0
HGLibB_18536	GALNT4	1	0
HGLibB_45027	SLC38A7	2	0
HGLibB_05223	C12orf23	2	0
HGLibB_51499	TRIM60	2	0
HGLibB_28192	MAP7	2	2
HGLibB_49304	THOC1	2	0
HGLibB_23307	INPP4B	1	0
HGLibB_02395	APCDD1L	2	0
HGLibB_25270	KLRF2	2	0
HGLibB_05076	C10orf55	2	0
HGLibB_46711	SPP1	2	0
HGLibB_42927	SCN2A	2	0
HGLibB_25872	LACC1	2	0
HGLibB_55714	ZNF311	2	0
HGLibB_45204	SLC5A10	2	0
HGLibB_31155	NAV2	2	0
HGLibB_51424	TRIM4	2	0
HGLibB_45161	SLC4A2	2	0
HGLibB_00349	ACACB	2	0
HGLibB_31212	NCAM1	2	0
HGLibB_09136	CEP55	2	0
HGLibB_28200	MAP7D3	2	0
HGLibB_35077	PAPD5	2	0
HGLibB_16544	FAM26F	2	0
HGLibB_12310	DAPK1	2	0
HGLibB_04183	BAZ1A	4	0
HGLibB_57873	NonTargetingControlGuideForHuman_0845	2	0
HGLibB_38879	PRSS35	2	0
HGLibB_12089	CYP2A13	4	0
HGLibB_34109	OR52D1	2	0
HGLibB_28919	METTL15	2	0
HGLibB_34831	P2RY12	1	0
HGLibB_48123	TADA1	2	0
HGLibB_41395	RND2	2	0
HGLibB_24376	KCTD1	2	0
HGLibB_38416	PRH2	2	0
HGLibB_55544	ZNF222	2	0
HGLibB_24799	KIAA1967	2	0
HGLibB_54383	WWP1	2	0
HGLibB_39629	PYCRL	1	0
HGLibB_25996	LARP4	2	0
HGLibB_49014	TEX2	2	0
HGLibB_26889	LOC389895	2	0
HGLibB_20490	GTDC2	2	0
HGLibB_31981	NKTR	2	0
HGLibB_13659	DNLZ	2	0
HGLibB_11950	CXorf66	1	0
HGLibB_17432	FGG	2	0
HGLibB_28874	MESP1	2	0
HGLibB_42750	SBK2	2	0
HGLibB_11058	CRB1	2	0
HGLibB_50379	TMEM53	2	0
HGLibB_04484	BHMT	2	0
HGLibB_10512	COL18A1	2	0
HGLibB_43365	SEPP1	2	0
HGLibB_18306	GABARAP	2	0
HGLibB_29447	MMP13	2	0
HGLibB_00371	ACADS	1	0
HGLibB_52981	UNK	2	0
HGLibB_12707	DDX46	2	0
HGLibB_40764	RELB	2	0
HGLibB_50557	TMPRSS11D	2	0
HGLibB_31806	NFX1	2	0
HGLibB_11917	CXorf48	2	0
HGLibB_41083	RHBDF1	2	0
HGLibB_09902	CLDN8	2	0
HGLibB_09879	CLDN24	2	0
HGLibB_18999	GGTLC2	2	0
HGLibB_09796	CLCA1	2	0
HGLibB_55266	ZIC5	2	0
HGLibB_44144	SIPA1L3	2	0
HGLibB_18908	GET4	2	0
HGLibB_31004	NADK	2	0
HGLibB_48535	TBCE	2	0
HGLibB_00521	ACPL2	2	0
HGLibB_18130	FUCA1	2	0
HGLibB_27199	LRPPRC	2	0
HGLibB_38546	PRL	2	0
HGLibB_31992	NKX2-2	2	0
HGLibB_53389	UTP6	2	0
HGLibB_26231	LECT2	2	0
HGLibB_35028	PALM2-AKAP2	2	0
HGLibB_39475	PTPRO	2	0
HGLibB_16190	FAM160B2	2	0
HGLibB_28725	MED18	2	0
HGLibB_07530	CCDC11	2	0
HGLibB_00576	ACSM3	2	0
HGLibB_33550	OR13C2	2	0
HGLibB_01119	AFM	2	0
HGLibB_46700	SPON1	2	0
HGLibB_31922	NIPAL4	2	0
HGLibB_28491	MBTD1	2	0
HGLibB_21050	HEATR5B	2	0
HGLibB_15346	EPS15	2	0
HGLibB_14083	DUOXA2	2	0
HGLibB_17870	FOXK1	2	0
HGLibB_46068	SOCS1	2	0
HGLibB_51347	TRIM14	2	0
HGLibB_12734	DDX55	2	0
HGLibB_32383	NPDC1	2	0
HGLibB_51635	TRMT61B	2	0
HGLibB_49108	TFEC	2	0
HGLibB_43133	SEC13	2	0
HGLibB_28841	MEMO1	2	0
HGLibB_23024	IL1RAPL1	2	0
HGLibB_34017	OR4S1	2	0
HGLibB_29511	MMS19	2	0
HGLibB_55691	ZNF292	2	0
HGLibB_01010	ADORA2A	2	0
HGLibB_34473	OR8G1	2	0
HGLibB_03998	B3GNT7	2	0
HGLibB_12327	DARS	2	0
HGLibB_40134	RAMP3	2	0
HGLibB_23384	INTS2	2	0
HGLibB_44517	SLC22A20	2	0
HGLibB_29903	MRPL3	2	0
HGLibB_46357	SPANXN5	2	0
HGLibB_07613	CCDC142	2	0
HGLibB_05933	C1QTNF1	2	2
HGLibB_09413	CHEK2	1	0
HGLibB_06619	C8orf44	2	0
HGLibB_13610	DNAJC5G	2	0
HGLibB_47699	SULT1E1	2	0
HGLibB_19500	GNG4	2	0
HGLibB_24540	KHK	2	0
HGLibB_09335	CHADL	2	0
HGLibB_51278	TRAT1	2	0
HGLibB_28722	MED17	2	0
HGLibB_57204	NonTargetingControlGuideForHuman_0176	2	0
HGLibB_15511	ERRFI1	2	0
HGLibB_00935	ADCYAP1R1	2	0
HGLibB_04599	BMP2K	2	0
HGLibB_04649	BNIP1	2	0
HGLibB_16644	FAM65A	2	0
HGLibB_19366	GMCL1	2	0
HGLibB_10565	COL4A3BP	2	0
HGLibB_44716	SLC25A52	2	0
HGLibB_22471	ICAM4	2	0
HGLibB_04942	BTG2	2	0
HGLibB_33980	OR4K15	2	0
HGLibB_02800	ARHGDIG	4	1
HGLibB_16077	FAM129B	2	0
HGLibB_19870	GPR137	2	0
HGLibB_43339	SENP3	2	0
HGLibB_08293	CD226	2	0
HGLibB_53880	WARS2	2	0
HGLibB_53501	VCAM1	1	0
HGLibB_35514	PCDHGB5	2	0
HGLibB_08029	CCL5	2	0
HGLibB_37841	PPHLN1	2	0
